epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
65,2380.79,0.44121,0.50405,0.31104,0.86386,0.96394,0.96833,0.982,0.82755,0.96394,0.96833,0.97859,0.79735,0.48832,0.61141,0.31753,0.84658,0.000360006,0.000360006,0.000360006
66,2418.86,0.42745,0.49773,0.30566,0.86504,0.97429,0.95578,0.98393,0.83202,0.97429,0.95578,0.98393,0.80418,0.48762,0.6056,0.3014,0.841,0.000350006,0.000350006,0.000350006
67,2454.06,0.4299,0.491,0.30016,0.86477,0.97355,0.9603,0.98142,0.82683,0.97197,0.95746,0.97446,0.80899,0.50794,0.60148,0.31511,0.85387,0.000340007,0.000340007,0.000340007
68,2489.39,0.42567,0.50179,0.30007,0.85675,0.96818,0.95876,0.98195,0.83725,0.96818,0.95876,0.97615,0.80217,0.48274,0.59491,0.30151,0.84668,0.000330007,0.000330007,0.000330007
69,2524.79,0.42518,0.50272,0.29063,0.8625,0.96064,0.95907,0.9886,0.83414,0.96064,0.95907,0.98611,0.80587,0.48673,0.6012,0.30425,0.8431,0.000320007,0.000320007,0.000320007
70,2562.47,0.42035,0.48737,0.28599,0.85925,0.96526,0.97195,0.98279,0.84071,0.96683,0.96489,0.98,0.81154,0.48158,0.59358,0.29812,0.84147,0.000310007,0.000310007,0.000310007
71,2599.74,0.42306,0.49326,0.29066,0.85789,0.96994,0.96108,0.98201,0.83681,0.96994,0.96108,0.98109,0.80787,0.47013,0.57528,0.29774,0.84586,0.000300007,0.000300007,0.000300007
72,2635.29,0.41896,0.49098,0.29601,0.86492,0.97504,0.95566,0.98166,0.83454,0.97504,0.95566,0.97896,0.80625,0.45334,0.55604,0.29485,0.84064,0.000290007,0.000290007,0.000290007
73,2671.73,0.41142,0.48322,0.2853,0.85397,0.96459,0.96069,0.98392,0.84276,0.96459,0.96069,0.98067,0.81258,0.46017,0.56701,0.28846,0.83372,0.000280007,0.000280007,0.000280007
74,2708.65,0.41323,0.49588,0.2915,0.85883,0.96622,0.95746,0.98178,0.82784,0.96622,0.95746,0.98178,0.80743,0.4789,0.58828,0.31043,0.84239,0.000270007,0.000270007,0.000270007
75,2743.98,0.41179,0.4935,0.28727,0.85489,0.96787,0.96636,0.98411,0.83746,0.96787,0.96636,0.98081,0.81277,0.46916,0.58553,0.29202,0.84547,0.000260007,0.000260007,0.000260007
76,2780.65,0.41174,0.48013,0.28573,0.85938,0.97131,0.97022,0.98349,0.83595,0.97131,0.97022,0.98261,0.79951,0.46733,0.59193,0.28904,0.84062,0.000250008,0.000250008,0.000250008
77,2816.93,0.40777,0.47965,0.28208,0.85544,0.97421,0.96747,0.98201,0.83787,0.96562,0.96663,0.97803,0.8096,0.48027,0.60746,0.29527,0.84632,0.000240008,0.000240008,0.000240008
78,2853.96,0.40817,0.47093,0.27868,0.85835,0.97067,0.97007,0.98565,0.8424,0.96697,0.96661,0.98164,0.81551,0.47425,0.61792,0.29059,0.84057,0.000230008,0.000230008,0.000230008
79,2890.39,0.404,0.46978,0.28057,0.85373,0.93617,0.97949,0.98431,0.84669,0.93617,0.97949,0.98351,0.82036,0.45853,0.59233,0.29324,0.83757,0.000220008,0.000220008,0.000220008
80,2927.44,0.4006,0.4706,0.27713,0.85309,0.96282,0.96564,0.98169,0.84059,0.96282,0.96564,0.98169,0.80915,0.46681,0.6188,0.28888,0.83706,0.000210008,0.000210008,0.000210008
81,2964.23,0.4075,0.47195,0.28018,0.85995,0.95577,0.97166,0.98333,0.84408,0.95577,0.97166,0.98148,0.81909,0.44881,0.59596,0.29096,0.83265,0.000200008,0.000200008,0.000200008
82,3000.3,0.39952,0.48439,0.27189,0.85399,0.96548,0.96833,0.98478,0.83969,0.96548,0.96833,0.98478,0.81231,0.46397,0.60642,0.28649,0.83935,0.000190008,0.000190008,0.000190008
83,3036.24,0.39697,0.46221,0.27391,0.85736,0.96074,0.96624,0.98577,0.84252,0.96074,0.96624,0.98512,0.82056,0.46694,0.58674,0.27934,0.83812,0.000180008,0.000180008,0.000180008
84,3072.09,0.39365,0.46473,0.26959,0.85659,0.94998,0.97714,0.98445,0.84127,0.97666,0.95021,0.98143,0.81497,0.46434,0.61435,0.29164,0.84085,0.000170008,0.000170008,0.000170008
85,3108.59,0.38934,0.4553,0.26534,0.85144,0.96755,0.97195,0.98647,0.84413,0.96388,0.96833,0.98257,0.81745,0.45858,0.60325,0.27455,0.83859,0.000160008,0.000160008,0.000160008
86,3145.79,0.39263,0.47451,0.26853,0.85355,0.98006,0.95021,0.98518,0.84862,0.98006,0.95021,0.98518,0.81812,0.45906,0.61314,0.27801,0.83559,0.000150009,0.000150009,0.000150009
87,3181.54,0.39003,0.45505,0.26281,0.85317,0.97864,0.95746,0.98496,0.84781,0.97864,0.95746,0.9832,0.82408,0.45483,0.59497,0.26986,0.83828,0.000140009,0.000140009,0.000140009
88,3218.76,0.396,0.46991,0.26073,0.8513,0.97882,0.95746,0.98675,0.85114,0.97882,0.95746,0.98304,0.82241,0.45852,0.59597,0.27468,0.83703,0.000130009,0.000130009,0.000130009
89,3254.08,0.39508,0.462,0.26401,0.85419,0.97398,0.96108,0.98697,0.8398,0.97398,0.96108,0.98309,0.80893,0.47035,0.59134,0.28439,0.84196,0.000120009,0.000120009,0.000120009
90,3289.27,0.38827,0.45381,0.26286,0.8556,0.97632,0.96679,0.98698,0.84403,0.97632,0.96679,0.98263,0.81761,0.4666,0.60955,0.2722,0.83784,0.000110009,0.000110009,0.000110009
91,3371.7,0.38897,0.47677,0.2526,0.83089,0.97209,0.9647,0.9802,0.83256,0.97209,0.9647,0.9802,0.81165,0.46213,0.60132,0.28807,0.83351,0.000100009,0.000100009,0.000100009
92,3411.03,0.38541,0.46932,0.24577,0.82004,0.96208,0.97195,0.98288,0.83839,0.96208,0.97195,0.98288,0.81541,0.46825,0.59729,0.28842,0.83403,9.00091e-05,9.00091e-05,9.00091e-05
93,3450.86,0.3764,0.4723,0.23752,0.82197,0.97464,0.95746,0.98287,0.8379,0.97418,0.95383,0.98267,0.80511,0.46122,0.59625,0.28065,0.83577,8.00092e-05,8.00092e-05,8.00092e-05
94,3496.2,0.37118,0.45295,0.23201,0.81958,0.96557,0.96373,0.9815,0.83993,0.96186,0.9601,0.98117,0.80783,0.44796,0.59512,0.27895,0.83256,7.00093e-05,7.00093e-05,7.00093e-05
95,3544.02,0.37105,0.46222,0.23439,0.81914,0.97197,0.95499,0.98047,0.84068,0.97197,0.95499,0.98047,0.81329,0.45268,0.60811,0.27738,0.83154,6.00094e-05,6.00094e-05,6.00094e-05
96,3589.4,0.36487,0.46017,0.22753,0.81655,0.97749,0.95963,0.98174,0.84087,0.97749,0.95963,0.98174,0.80692,0.45244,0.60948,0.26891,0.83166,5.00095e-05,5.00095e-05,5.00095e-05
97,3636.14,0.36238,0.458,0.22663,0.81623,0.97944,0.96016,0.98211,0.8403,0.97944,0.96016,0.98211,0.80805,0.45997,0.60752,0.27698,0.83195,4.00096e-05,4.00096e-05,4.00096e-05
98,3671.99,0.36281,0.4479,0.22824,0.81529,0.97367,0.96108,0.98143,0.84209,0.97367,0.96108,0.98104,0.81502,0.45211,0.60177,0.28028,0.8302,3.00097e-05,3.00097e-05,3.00097e-05
99,3706.98,0.36727,0.44724,0.22673,0.81582,0.9796,0.95383,0.9813,0.83875,0.9796,0.95383,0.9813,0.81237,0.45808,0.60873,0.27551,0.83268,2.00098e-05,2.00098e-05,2.00098e-05
100,3741.46,0.35998,0.44895,0.22123,0.8114,0.98051,0.95383,0.98149,0.83976,0.98051,0.95383,0.98149,0.8122,0.45613,0.61032,0.27342,0.83196,1.00099e-05,1.00099e-05,1.00099e-05
